UID,Name,Script_0,Script_1,Script_2
0,,,,
1,SamsaraRoom,유물의 빛을 코앞에서 느낀다.,,
2,SamsaraRoom,가슴이 벅차오른다.,,
3,SamsaraRoom,드디어... 드디어 돌아갈 수 있다.. 편해질 수 있다..,,
4,VillGate,숲 속에 난 길 치고는 잘 정돈되어 있군.,,
5,Grass,마치 유적으로 가는 길을 막듯 덤불들이 자라 나 있다.,,
6,RuinsGate,엄청난 규모와 본적도 없는 양식을 가진 건축물이다.,,
7,RuinsGate,무언가… 가슴이 울렁이는 듯 한…,,
8,RuinsFirst,벽이나 바닥에 수상한 낙서들이 가득하군.,,
9,FirstMonster,무언가의 기척을 느낀다.,,
10,BrokenBridge,다리가 끊겨 있군. 어딘가 우회로가 있을 것이다.,,
11,TempleGate,가슴의 울렁거림이 강해지고 있어. 유물이 가까워지고 있다.,,
12,IndraGate,눈부시군…태양이라도 붙잡아 둔 건가?,,
13,TempleGate,신전처럼 보이는 건물이 있다.,,
14,TeleportGate,비석이 신비한 빛을 발하고 있다.,,
15,TeleportFirst,여긴 어디지..? 석판에 손을 대자 갑자기…,,
16,Teleport,"이런 곳에 사람을 가두다니, 상당히 악취미로군.",,
17,FirstOfLast,본 적이 있는 광경이다. 몇번이고… 몇번이고…..,,
18,FirstOfLast,어째선가 낙서들을 읽을 수 있게 되었다.,,
19,FirstOfLast,끊어져 있어야 할 다리가 신전을 가리키고 있다.,,
20,FirstOfLast,나를 기다리고 있는 것 만 같다.,,
21,FirstOfLast,이제는 얼버무릴 수 없다.,,
22,FirstOfLast,"괴물들 속에 보인 친구의 얼굴도, 끝없는 윤회도",,
23,FirstOfLast,모두 내가 자신의 죄를 마주보려 하지 않았기 때문에,,
24,FirstOfLast,과거에서 도망쳤기 때문에 생겨난 부덕(不德)이다.,,
25,FirstOfLast,마주보지 않으면.. 나아가지 않으면 모든 것이 되풀이된다.,,
26,FirstOfLast,제프티.. 아사르.. 바비.. 이제는 너희들을 알아 볼 수 있다...,,
27,FirstOfLast,내가 나약했기 때문에.. 너희들이 떠나지 못했구나...,,
28,FirstOfLast,이제는 너희들을 보내줘야만 할 것 같다.,,
29,FirstOfLast,신전이 보인다. 이제 이 길고 긴 참회를 끝내야 한다.,,
30,FirstOfLast,앞으로 나아가자. 그곳에 분명 내 죄를 비춰 줄 거울이 있다.,,
31,FirstOfLast,유물.. Samsara는 코앞이다.,,
32,FirstOfLast,Samsara를 파괴하면 이 윤회는 끝날 것이다.,,
33,FirstOfLast,나의 업보도 분명.. 다시 내가 짊어지게 되겠지.,,
34,FirstOfLast,두렵지만 그건 분명 내 것이다. 내가 짊어지지 않으면 끝나지 않아.,,
35,TeleportEnd,주저리주저리 말이 많은 석상들이로군...,,
36,SecondTime,아사르...?!,,
37,FirstEnding,말도 안돼… 저런 괴물들이 있다니.. 이길 수 있을 리가 없어…,,
38,FirstEnding,"제프티, 아사르! 바비! 어디있나?!",,
39,FirstEnding,동료들을… 찾지 않으면…,,
40,FirstEnding,아사르….,,
41,SecondEnding,동료들: 적들이 몰려온다! 부상병들이 후퇴할 수 있게 엄호해줘!,,
42,SecondEnding,나…나는 죽고 싶지 않아…,,
43,SecondEnding,으아아으으아아아아악!!,,
44,SecondEnding,동료들: 케프리!!,,
45,,,,
